Row	ID	AllWeights	AllProperties
21	WS24661	1 כוס קטן=180|1 כוס גדול=355|1 כוסות	031|060.3|1437|153
22	WS31738		03105|0411|051.45|073.6|084.75|090.55|15625
23	WS25527	1 בינוני=200|1 קטן (16 ס מ)=160|1 כוס (קצוצים)=135|1 פרוסה=7|1 כוס (פרוסות)=120|1 גדול (21 ס מ)=280|1 מקל (10 ס מ)=9	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
24	WS29249		0318
25	WS18977	1 פרוסה=25|1 פרוסה גדולה (קוביות)=30|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|2 פרוסות=25|1 כוס (קוביות)=35|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03240|0410.5|053.1|0639.5|078.3|090.65|100.75|111.3|1261|132.4|14220|15455|160.7
26	WS27473	1 כוס קטן=180|1 כוסות|1 כוס גדול=355	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
27	WS41386		03125
28	WS26069	1 כפות|1 כפיות	03900|05100|0913|1066.5|118|121|130.1|151
29	WS19000	1 כוס גדול=355|1 כוס קטן=180|1.2 כוס קטנה=205|1 כוסות	032.85|040.1|060.35|070.1|126.4|130.05|1432.5|151.5
30	WS28376	1 בינוני (6 ס"מ 8 ס"מ)=215|1 קטן (4 ס מ 6 ס מ)=170|0.5 כוס (קצוץ)=75|1 גדול (8 ס"מ 11 ס"מ)=370|4 קטנים (6 ס"מ 8 ס"מ)=425	0377|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
31	WS41196	1 בינוני=44|2 ג'מבו=125|0.9999999 קטן=38|1.5 גדול=75|1 גדול מאוד=56|1 כוס (קצוצים)=135|1 כפות=8.5	03155|0412.5|0510.5|061.1|081.1|093.25|104.1|111.4|1250|131.2|14125|15125|16375|182.2
32	WS41928		0359
33	WS41928		0359
34	WS26335	1 פרוסה=25|2 פרוסות=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03270|0411|051|073.5|084.5|090.5|15650
35	WS22318	1 בינוני=44|1 גדול=50|1 גדול מאוד=56|3 large=44|2 קטן=76|4 ג'מבו=250|1 כוסות=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
36	WS44382		03140
37	WS28346	0.5 כוסות	0365|042.85|050.15|0613|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
38	WS28444	1 אבוקדו=200|1 כוס (פרוסות)=145|1 כוס (קוביות)=150|0.2 כוס (מחית)=46	03160|042|0514.5|068.55|076.7|080.65|092.15|109.8|111.8|1212|130.55|14485|157|1710
39	WS24686	1 כוסות	0370|042.2|050.45|0614|070.9|084|090.15|100.1|110.15|1213|130.9|14190|15270|161
40	WS25502	1 השד=160|1 כוס (קצוצים או חתוכה לקוביות)=140|1 חתיכה=160	03165|0431|053.65|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
41	WS22321	1 פרוסה=120|2 פרוסות=120|1 פיצה=945	03265|0411.5|059.7|0633.5|072.3|083.6|094.45|102.6|111.7|12190|132.5|14170|15600|1617|171.4
42	WS19259	1 ביסקוויט (6 ס מ)=35|1 בינוני=51|0.6 קטן=21|1 גדול=77	03360|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
43	WS29227		03600|0423.5|0557|0613
44	WS36123		0326|054
45	WS26335	1 פרוסה=25|2 פרוסות=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03270|0411|051|073.5|084.5|090.5|15650
46	WS37004	1 בר=68|1 חטיף=68	03355|0414|053.1|0669.5|075.7|0830|091.3|101.05|110.6|12505|1311.5|14360|15145|1792.5
47	WS29250		0326
48	WS34520	1 פרוסה=28|0.1 גביע (קצוץ)=13|1.5 פרוסות=28|1 כוס (מגורר)=115|1 גביע (נמס)=245|1 אינץ ' מעוקב=17|1 חבילה (נמס)=170	03235|0418|0514|0611|088|098.85|104.15|110.4|12530|130.2|14330|151600|1653|180.3
49	WS24663	1 מיכל בינוני=185|1 מיכל קטן=125	0367.5|044.3|052.15|067.15
50	WS19810	1 בינוני (18 ס מ עד 20 ס מ)=120|2 קטן (15 ס מ 18 ס"מ)=200|1 גדול (20 ס מ עד 22 ס מ)=135|1 גדול מאוד (22 ס מ או יותר)=150|1 קטנה במיוחד (קטן מ- 15 ס מ)=81|1 כוס (פרוסות)=150|1 כוס (פירה)=225	0399|041|050.45|0625|072.1
51	WS19810	1 בינוני (18 ס מ עד 20 ס מ)=120|2 קטן (15 ס מ 18 ס"מ)=200|1 גדול (20 ס מ עד 22 ס מ)=135|1 גדול מאוד (22 ס מ או יותר)=150|1 קטנה במיוחד (קטן מ- 15 ס מ)=81|1 כוס (פרוסות)=150|1 כוס (פירה)=225	0399|041|050.45|0625|072.1
52	WS31744	1 הקאפקייקס=50|1 עוגת ספוג=42	03400|043.65|0516|0660.5|073.2|0838|094.9|108.5|111.8|12115|133.6|14175|15330|171.9
53	WS31738		03105|0411|051.45|073.6|084.75|090.55|15625
54	WS26252	0.3 כוסות	03380|0413|056.6|0668.5|0710|081.15|091.2|102.1|112.35|12140|1310|14365|1568
55	WS42939		03125
56	WS26150	1 בינוני (6 ס מ)=110|1.5 כף (קצוצים)=15|0.2 קטן=14|1 גדול=150|1 כוס (קצוצים)=160|1 כוס (פרוסות)=115|1 פרוסה גדולה (1 ס מ)=38|1 פרוסה בינונית=14|1 פרוסה דק=9|10 טבעות=60	0340|041.1|050.1|069.35|071.7|084.25|090.05|1223|130.2|14145|154|177.4
57	WS29227		03600|0423.5|0557|0613
58	WS39939	1 קופסא=165|1 כוס (מוצק או נתחים)=155|1 קופסא גדולה (אזל)=355	0386|0419.5|050.95|090.2|100.1|110.3|1217|131.65|14180|15245|1636|181.2
59	WS35176	2 פרוסה=50|2 פרוסות=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03265|0413.5|054.25|0643.5|077.4|086.4|090.85|100.75|111.85|12105|132.5|14230|15380|170.1
60	WS22319	1 חצי כוס=160|1 כוסות|1 כפות	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
61	WS24663	1 מיכל בינוני=185|1 מיכל קטן=125	0367.5|044.3|052.15|067.15
62	WS22320	0.5 עוף=460|0.1 השד=29|1 כנף=49|0.5 כרע עוף=230|1 כוס (קצוצים או חתוכה לקוביות)=140|1 גוש=20	03175|0421|0510.5|1214|131.5
63	WS30505	1 כוסות	03160|045.95|050.95|0632|071.8|080.55|090.2|100.15|110.3|127|131.3|1444|151
64	WS29232	1 בינוני (8 ס"מ)=180|1 קטן (7 ס מ)=150|1 גדול (8 ס"מ)=225|1 קטנה במיוחד (6 ס מ)=100|1 כוס (קצוצים)=125|1 כוס (פרוסות)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
65	WS24661	1 כוס קטן=180|1 כוס גדול=355|1 כוסות	031|060.3|1437|153
66	WS28433	1 בינוני=61|1 גדול (7 עד 21 ס מ)=72|1 קטן (14 ס מ)=50|0.5 כוס (מגוררת)=55|1 פרוסה=3|1 כוס (רצועות או פרוסות)=120|1 רצועת בינונית (רצועות או פרוסות)=4|1 כוס (קצוצים)=130	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
67	WS28726	23 גרעינים=28.5|1 שבעה שקדים=28.5|1 כוסות|1 גביע (הקרקע)=95|1 כוס (פרוסות)=92	03555|0421|0549.5|0621.5|0712|083.9|093.75|1031|1112|12265|133.7|14705|151
68	WS26069	1 כפות|1 כפיות	03900|05100|0913|1066.5|118|121|130.1|151
69	WS36123		0326|054
70	WS35176	2 פרוסה=50|2 פרוסות=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03265|0413.5|054.25|0643.5|077.4|086.4|090.85|100.75|111.85|12105|132.5|14230|15380|170.1
71	WS37933	1 חצי כפית=17|1 כפות|1 חבילה=9	03110|041.25|050.2|0626|070.3|0821.5|090.05|100.05|110.15|1216|130.4|14315|15905|174.1
72	WS51406	10 אסימונים=12|0.2 שקית=33.5|1 כוסות	03540|046.55|0536.5|0651|074.4|080.35|094|1016|1116|1224|131.6|141650|15480|1718.5
73	WS22566		03285
74	WS24154		03290|049.95|0522.5|0611.5
75	WS28707	1 ריבוע=3|5 קרקרים סיבוב=16|1 קרקר גדולים=10|1 מלבני=4|1 גביע (גודל ביס)=62	03735|046.6|0526|0661.5|072.1|087.45|095.4|106.65|1112.5|1295|133.8|14110|15750
76	WS54652		03185
77	WS22318	1 בינוני=44|1 גדול=50|1 גדול מאוד=56|3 large=44|2 קטן=76|4 ג'מבו=250|1 כוסות=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
78	WS24154		03290|049.95|0522.5|0611.5
79	WS28376	1 בינוני (6 ס"מ 8 ס"מ)=215|1 קטן (4 ס מ 6 ס מ)=170|0.5 כוס (קצוץ)=75|1 גדול (8 ס"מ 11 ס"מ)=370|4 קטנים (6 ס"מ 8 ס"מ)=425	0377|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
80	WS44614	0.2 כוס קטן=35.5|0.1 כוס גדול=35.5|1 כוסות	0360|043.25|051.95|064.75|085.05|091.25|100.55|110.05|12120|14140|1547|168|170.2|181.2
81	WS24661	1 כוס קטן=180|1 כוס גדול=355|1 כוסות	031|060.3|1437|153
82	WS24686	1 כוסות	0370|042.2|050.45|0614|070.9|084|090.15|100.1|110.15|1213|130.9|14190|15270|161
83	WS50404	1 פרוסה=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03270|0411|054.2|0651|075.35|083.85|090.65|101.3|110.8|1273|132.85|14165|15605|170.4
84	WS29226		03110|043.8|050.15|0623
85	WS29684	1 בינוני=44|1 גדול=50|2 כוס (קצוצים)=270|1 גדול מאוד=56|1 ג'מבו=63|1 קטן=38|1 כפות=8.5	03150|0410|0511|061.6|081.4|093.35|104.45|112.45|1266|131.3|14130|15145|16275|181.8
86	WS36042	1 כוס קטן=180|1 כוסות|1 כוס גדול=355	0371|043.25|051|0612.5|070.5|089.95|090.6|100.3|110.05|12115|130.25|14170|1561|163|170.9|181.1
87	WS24154		03290|049.95|0522.5|0611.5
88	WS25071	1 כיכר (ריבוע 10 ס מ)=33|1 עגול (10 ס מ)=33	03310|047.2|059.6|0649.5|072.4|085|091.65|104.9|112.2|12305|136.9|14145|15730|1615
89	WS19810	1 בינוני (18 ס מ עד 20 ס מ)=120|2 קטן (15 ס מ 18 ס"מ)=200|1 גדול (20 ס מ עד 22 ס מ)=135|1 גדול מאוד (22 ס מ או יותר)=150|1 קטנה במיוחד (קטן מ- 15 ס מ)=81|1 כוס (פרוסות)=150|1 כוס (פירה)=225	0399|041|050.45|0625|072.1
90	WS53361	0.1 השד=68.5|0.2 כוס (קצוצים או חתוכה לקוביות)	03260|0425|0513|069|070.3|093.5|105.45|113.1|1220|131.25|14200|15275|1685|180.1
91	WS39280		03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
92	WS32416		03290|0422.5|0523
93	WS39725	1 כפות|1 כפיות	03605|0425|0550.5|0619.5|076|089.2|0910.5|1024|1114|1243|131.85|14650|15460
94	WS134317		033200
95	WS36134	10 ענבים=49|1 כוסות=150	0369|040.7|050.15|0618|070.9|0815.5|090.05|110.05|1210|130.35|14190|152|173.2
96	WS35815	1 פרוסה עבה=85|1 חתיכה=285|0.6 סטייק סירלוין=99|0.7 סטייק גדול=140|1.4 פרוסה דק=38|1 צלעות=270|1 להב=245	03290|0426.5|0519.5|097.75|108.45|110.7|129|132.7|14320|1563|1687|180.3
97	WS28433	1 בינוני=61|1 גדול (7 עד 21 ס מ)=72|1 קטן (14 ס מ)=50|0.5 כוס (מגוררת)=55|1 פרוסה=3|1 כוס (רצועות או פרוסות)=120|1 רצועת בינונית (רצועות או פרוסות)=4|1 כוס (קצוצים)=130	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
98	WS50059	0.5 כפות	03220|0418|0513|0658.5|0730|081.75|097.75|104.4|110.4|12110|1315.5|142500|1519
99	WS37004	1 בר=68|1 חטיף=68	03355|0414|053.1|0669.5|075.7|0830|091.3|101.05|110.6|12505|1311.5|14360|15145|1792.5
100	WS38054	1 בינוני (6 ס"מ 8 ס"מ)=215|1.2 קטן (4 ס מ 6 ס מ)=205|1 רבע=215|1 גדול (8 ס"מ 11 ס"מ)=370|0.5 כוס (קצוץ)=75	0393|041.95|050.1|0621.5|071.5|081.7|090.05|110.05|125|130.35|14390|155|1713
101	WS34335	1 פרוסה=25|2 פרוסות=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03265|049.15|053.2|0649|072.7|085.05|090.7|100.6|111.6|12260|133.6|14115|15490
102	WS36123		0326|054
103	WS31946	1 גביע (חלקים 1 ס מ. קצוצים. באופן רופף ארוזות)=57|1 עלה בינוני (כ 14 ס מ)=8|0.4 חסה בינונית (15 ס מ)=215|0.7 כוס (מגורר)=50.5|1 גביע (חלקים 1 ס מ, קצוצים, באופן רופף ארוזות)=57|1 חסה גדולה (15 ס מ)=755|1 עלה גדול (בערך 18 ס מ)=15|1 עלה קטן (מגורר)=5|1 ראש קטן (מגורר)=325	0315|041.35|050.15|062.85|071.3|080.8|110.1|1236|130.85|14195|1528|179.2
104	WS22320	0.5 עוף=460|0.1 השד=29|1 כנף=49|0.5 כרע עוף=230|1 כוס (קצוצים או חתוכה לקוביות)=140|1 גוש=20	03175|0421|0510.5|1214|131.5
105	WS34504	1 גליל (9 ס מ)=57|1 גליל (כיכר 7 ס מ)=60|0.7 גדול לגלגל (כיכר 7 ס מ)=58	03295|049.9|054.3|0652.5|072.3|081.75|090.6|101.15|111.7|1295|133.3|14110|15545
106	WS19811	1 בינוני (6 ס מ)=125|4 פרוסה (1 ס מ)=80|0.5 גדול (8 ס"מ)=91|1 וודג (1/4 של עגבנייה בינונית)=31|1 כוסות|1 פרוסה גדולה/עבה (1 ס מ)=27|1 עגבנייה קטנה (6 ס מ)=91	0319.5|040.9|050.4|064.55|071.5|1214.5|131.05|1716
107	WS46163	1 בינוני (7 ס מ)=150|1 גדול (10 ס מ)=100|1 קטן (5 ס מ)=110|0.6 קטן (6 ס מ)=78|1 גדול (7 ס מ)=175|1 כוס (פרוסות)=155|1 גדולות במיוחד (8 ס"מ)=225	0344.5|040.9|050.25|069.55|071.5|088.4|100.05|110.1|126|130.25|14190|176.6
108	WS28433	1 בינוני=61|1 גדול (7 עד 21 ס מ)=72|1 קטן (14 ס מ)=50|0.5 כוס (מגוררת)=55|1 פרוסה=3|1 כוס (רצועות או פרוסות)=120|1 רצועת בינונית (רצועות או פרוסות)=4|1 כוס (קצוצים)=130	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
109	WS24662	1 תפוז (7 ס מ)=130|1 כוס (סעיפים)=180|1 גדול (8 ס"מ)=185|1 קטן (6 ס מ)=96	0347|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
110	WS26335	1 פרוסה=25|2 פרוסות=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03270|0411|051|073.5|084.5|090.5|15650
111	WS39942	0.1 כוס קטן=18|1 קוביות=240|1 כוס גדול=355|1 בונבון=12.5|1.3 שק=335|1 כוסות|0.1 קוביה	0385|043.2|053.3|0613|070.7|089.55|091.2|100.45|110.1|12110|130.25|14170|1566|168|181.2
112	WS19810	1 בינוני (18 ס מ עד 20 ס מ)=120|2 קטן (15 ס מ 18 ס"מ)=200|1 גדול (20 ס מ עד 22 ס מ)=135|1 גדול מאוד (22 ס מ או יותר)=150|1 קטנה במיוחד (קטן מ- 15 ס מ)=81|1 כוס (פרוסות)=150|1 כוס (פירה)=225	0399|041|050.45|0625|072.1
113	WS28657	1 פרוסה=28|0.2 כוס (מגורר)=22.5|1 גביע (קצוץ)=130|1 גביע (נמס)=245|1 אינץ ' מעוקב=17|1 חבילה (נמס)=170	03405|0425|0533|061.3|080.5|0921|109.4|110.95|12720|130.7|1498|15620|16105|180.6
114	WS34336	0.5 עוף=465|1 השד=280|1 כנף=49|1 גוש=20|1 כוס (קצוצים או חתוכה לקוביות)=140	03290|0422.5|0517.5|069.4|070.3|094.6|107.1|114.1|1221|131.35|14185|15290|1687|180.2
115	WS41383		03115
116	WS28444	1 אבוקדו=200|1 כוס (פרוסות)=145|1 כוס (קוביות)=150|0.2 כוס (מחית)=46	03160|042|0514.5|068.55|076.7|080.65|092.15|109.8|111.8|1212|130.55|14485|157|1710
117	WS28346	0.5 כוסות	0365|042.85|050.15|0613|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
118	WS19623		03150|049.45|053.5|0616|085.2|090.7|100.3|110.05|12125|130.05|14150|1544.5|165.45|181.2
119	WS50404	1 פרוסה=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03270|0411|054.2|0651|075.35|083.85|090.65|101.3|110.8|1273|132.85|14165|15605|170.4
120	WS33451	1 כפות	03680|040.95|0575|060.55|081.85|0911.5|1017|1144.5|128|130.2|1420|15635|1642|180.2
121	WS31946	1 גביע (חלקים 1 ס מ. קצוצים. באופן רופף ארוזות)=57|1 עלה בינוני (כ 14 ס מ)=8|0.4 חסה בינונית (15 ס מ)=215|0.7 כוס (מגורר)=50.5|1 גביע (חלקים 1 ס מ, קצוצים, באופן רופף ארוזות)=57|1 חסה גדולה (15 ס מ)=755|1 עלה גדול (בערך 18 ס מ)=15|1 עלה קטן (מגורר)=5|1 ראש קטן (מגורר)=325	0315|041.35|050.15|062.85|071.3|080.8|110.1|1236|130.85|14195|1528|179.2
122	WS25046	100 גרמים	03310|0412|052.2|0663|073.15
123	WS39811	1 כוסות	0385|040.05|062.6|080.6|128|130.45|14125|154
124	WS23042	1 חבילה=2|1 כפיות|2 כוסות	03225|0412.5|0512|0667|0765
125	WS29249		0318
126	WS39939	1 קופסא=165|1 כוס (מוצק או נתחים)=155|1 קופסא גדולה (אזל)=355	0386|0419.5|050.95|090.2|100.1|110.3|1217|131.65|14180|15245|1636|181.2
127	WS25502	1 השד=160|1 כוס (קצוצים או חתוכה לקוביות)=140|1 חתיכה=160	03165|0431|053.65|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
128	WS39939	1 קופסא=165|1 כוס (מוצק או נתחים)=155|1 קופסא גדולה (אזל)=355	0386|0419.5|050.95|090.2|100.1|110.3|1217|131.65|14180|15245|1636|181.2
129	WS44614	0.2 כוס קטן=35.5|0.1 כוס גדול=35.5|1 כוסות	0360|043.25|051.95|064.75|085.05|091.25|100.55|110.05|12120|14140|1547|168|170.2|181.2
130	WS31740		03100
131	WS47198		0374.5
132	WS40829	1 גדול=180|0.5 קטן=30|1 כוסות|1 כוס (פירה)=330	0390|042|050.15|0620.5|073.3|086.5|090.05|110.05|1238|130.7|14475|1536|1719.5
133	WS41928		0359
134	WS28346	0.5 כוסות	0365|042.85|050.15|0613|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
135	WS54215		0392
136	WS27474	1 כוסות	0369|044.75|050.55|0617|075.6
137	WS34335	1 פרוסה=25|2 פרוסות=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03265|049.15|053.2|0649|072.7|085.05|090.7|100.6|111.6|12260|133.6|14115|15490
138	WS31738		03105|0411|051.45|073.6|084.75|090.55|15625
139	WS28346	0.5 כוסות	0365|042.85|050.15|0613|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
140	WS40486	1 כוס (בצורת ספירלה)=135|1 כוסות|1 כוס (פגזים קטנים)=115	03175|046.4|051.25|0634|071.9|081.25|090.25|100.15|110.35|1217.5|131.4|1467.5|151
141	WS29227		03600|0423.5|0557|0613
142	WS43464		03120|042.95|050.55|0618.5|070.9|084|090.15|100.1|110.15|1213|130.9|14190|15270|161
143	WS28657	1 פרוסה=28|0.2 כוס (מגורר)=22.5|1 גביע (קצוץ)=130|1 גביע (נמס)=245|1 אינץ ' מעוקב=17|1 חבילה (נמס)=170	03405|0425|0533|061.3|080.5|0921|109.4|110.95|12720|130.7|1498|15620|16105|180.6
144	WS42939		03125
