Row	ID	AllWeights	AllProperties
43	WS54740	1 muỗng canh=13	03900|05100|0939|1045|1111|1695|182.5
44	WS25291	1 chén lớn=355|1 tách=235|1 chén nhỏ=180|1 coc=355|1 ly	031.1|060.35|1437|153
45	WS25873	1 lát=25|1 lớn lát (hình khối)=30|1 lát mỏng=20|1 lát mỏng mà không có lớp vỏ (hình khối)=9|1 lát mà không có lớp vỏ=12|1 rất mỏng lát (hình khối)=15	03310|0412.5|053.85|0656|074.55|086.2|090.95|101|111.7|12165|134.1|14225|15605|170.2
46	WS42310	1 vừa nêm (1/8 dưa)=69|1 lớn nêm (1/8 dưa)=100|1 nhỏ nêm (1/8 dưa)=55|1 trung bình (khoảng 12 cm)=550|0.4 lớn (khoảng 16 cm)=325|10 dưa vàng bóng (khoảng 11 cm)=140|1 (khoảng 11 cm)=70|1 lát=69|3 miếng=300|0.1 nhỏ (khoảng 11 cm)=44|0.2 trái=400|4 lớn nêm (1/2 dưa)	0330|040.6|050.15|067.55|070.4|086.2|100.05|110.05|127|130.25|14110|151|178.1
47	WS46282	4 lớn=28|1 trung=6|2.7 nhỏ=13.5|10 con=150	0377.5|0414.5|051.2|061.05|090.1|100.1|110.15|1254|130.2|14115|15565|16125|180.1
48	WS37487	1 lớn=180|1 củ=150|1 nhỏ=60|1 củ to=150|1 đĩa nhỏ=200|3 củ nhỏ=90|1 củ vừa=105|1 đĩa vừa=500|2 trung=180|1 ly|0.5 c	0379|041.4|050.15|0618|072.55|085.75|090.05|110.05|1227|130.75|14230|1527|1713
49	WS29262	1 tô=160|1 bát=185|1 gói=160|1 ly	03140|044.55|052.15|0625|071.2|080.4|090.4|100.6|110.55|1212|131.45|1438|155|1629|180.1
50	WS31735	1 ly (phần)=165|1 (phần)=50|2 trái=165|2 miếng=200|2 trái (phần)=250|3 quả=495|1 ly	0361|042.55|050.85|0633|071.6|0813.5|090.1|100.15|110.05|1211|130.15|14170|151|1736.5
51	WS25450	1 trung=61|1 lớn (7-21 cm)=72|1 nhỏ (14 cm)=50|1 chén (dải hoặc lát)=120|1 dải đất lớn (8 cm)=7|1 vừa dải (dải hoặc lát)=4|1 lát=3|1 củ=61	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
52	WS25291	1 chén lớn=355|1 tách=235|1 chén nhỏ=180|1 coc=355|1 ly	031.1|060.35|1437|153
53	WS31880	1 lát=8|1 lát dày=12|1 lát mỏng=5	03540|0437|0542|061.45|0913.5|1018.5|114.55|1211|131.45|14565|151700|16110|181
54	WS37966	0.3 Cúp bóng đá=24.5|1 ly	03360|0412|056.9|0669.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
55	WS21567	1 hộp|1 hủ|100 gram	0399.5|044.35|051.2|0618|0819|090.7|100.3|110.05|12150|130.05|14195|1558|164.1|170.7
56	WS29940	1 phục vụ=48|2 cái=125|2 chiếc=125|2 cái rán=160	03345|0419.5|0528.5|099.15|1012.5|113.75|1213|131.35|14295|15895|1684|170.7|180.7
57	WS25450	1 trung=61|1 lớn (7-21 cm)=72|1 nhỏ (14 cm)=50|1 chén (dải hoặc lát)=120|1 dải đất lớn (8 cm)=7|1 vừa dải (dải hoặc lát)=4|1 lát=3|1 củ=61	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
58	WS28627	1 ly|1 bát	03105|042.05|050.65|0623.5|070.95
59	WS42502	1 chén lớn=355|1 chén nhỏ=180|1 hộp=355|1 ly|1 bát	0365.5|043.35|053.65|065.5|085.05|091.85|100.8|110.2|12115|130.05|14130|1543|1610|181.3
60	WS29265	1 lớn (10 cm)=135|1 nhỏ dưa (10 cm)=37|1 lát=7|1 miếng=65	0312|040.6|050.15|062.6|071.1|081.3|090.05|110.05|1242|130.35|1492|15875|170.8
61	WS21567	1 hộp|1 hủ|100 gram	0399.5|044.35|051.2|0618|0819|090.7|100.3|110.05|12150|130.05|14195|1558|164.1|170.7
62	WS42310	1 vừa nêm (1/8 dưa)=69|1 lớn nêm (1/8 dưa)=100|1 nhỏ nêm (1/8 dưa)=55|1 trung bình (khoảng 12 cm)=550|0.4 lớn (khoảng 16 cm)=325|10 dưa vàng bóng (khoảng 11 cm)=140|1 (khoảng 11 cm)=70|1 lát=69|3 miếng=300|0.1 nhỏ (khoảng 11 cm)=44|0.2 trái=400|4 lớn nêm (1/2 dưa)	0330|040.6|050.15|067.55|070.4|086.2|100.05|110.05|127|130.25|14110|151|178.1
63	WS50413	1 trung=195|0.5 lớn=160|1 nhỏ=120|0.5 lát=5|2.2 chén (thái lát)=250	0320|040.9|050.3|064.3|071.4|082.6|090.05|110.15|1227|130.35|14190|151|175.5
64	WS29262	1 tô=160|1 bát=185|1 gói=160|1 ly	03140|044.55|052.15|0625|071.2|080.4|090.4|100.6|110.55|1212|131.45|1438|155|1629|180.1
65	WS55232	0.2 chén nhỏ=35.5|1 chén lớn=355|1 viên=1|1 ly	0378|043|051.9|0612|070.7|089.55|091.2|100.45|110.1|12110|130.25|14170|1566|168|181.2
66	WS29262	1 tô=160|1 bát=185|1 gói=160|1 ly	03140|044.55|052.15|0625|071.2|080.4|090.4|100.6|110.55|1212|131.45|1438|155|1629|180.1
67	WS30793	0.3 Cúp bóng đá=24.5|1 bát=48.5|1.8 thìa nhỏ=48.5|1 ly	03380|0413|056.5|0668.5|0710|081|091.1|102|112.3|1252|134.25|14360|156.25
68	WS21567	1 hộp|1 hủ|100 gram	0399.5|044.35|051.2|0618|0819|090.7|100.3|110.05|12150|130.05|14195|1558|164.1|170.7
69	WS35232	1 trung bình (6 cm)=110|1 chén (thái lát)=115|2 t=100|1 lớn=150|1 muỗng canh (xắt nhỏ)=10|1 lớn lát (1 cm)=38|1 vừa lát=14|1 nhỏ=70|1 lát mỏng=9|10 vòng=60	0340|041.15|050.1|069.25|071.7|084.25|090.05|1223|130.2|14145|154|177.4
70	WS56373	1 thu nhỏ thanh=7|1 hộp=7	03540|047.65|0529.5|0659.5|073.4|0851.5|0918.5|107.2|111.4|12190|132.35|14370|1579|1623
71	WS22584	1 chén lớn=355|1 chén nhỏ=180|2 tách=80|1 ly	033.5|040.1|050.05|122|1449|152
72	WS25291	1 chén lớn=355|1 tách=235|1 chén nhỏ=180|1 coc=355|1 ly	031.1|060.35|1437|153
73	WS31112	1 vừa ngô (17 cm đến 19 cm)=105|1 nhỏ ngô (14 cm đến 16 cm)=89|1 ngô (19 cm đến 22 cm)=77|3 lớn tai (19 cm đến 22 cm)=355|1 vừa ngô (8,5 cm đến 9 cm)=105	0399|043.4|051.5|0621|072.4|084.55|090.2|100.35|110.6|123|130.45|14220|151|175.5
74	WS58778	1 lát (9 cm x 2 cm)=84|1 lớn lát (12 cm x 2 cm)=165|1 chén (khối)=165|1 Qả=315|1 lát mỏng (9 cm x 1 cm)=56|0.2 dứa (9 cm x 1 cm)=180|2 miếng nhỏ=100|1 Quả=315|1.8 lớn lát 10cm x 6 cm	0351|040.55|050.1|0613.5|071.4|089.85|110.05|1213|130.3|14110|151|1748
75	WS35977	1 muỗng canh=13.5|1 muỗng cà phê	03900|05100|0913|1066.5|118|121|130.1|151
76	WS61013	100 mili lít|100 gram	03105|044.85|051.4|0624|082.9|090.9|100.4|110.05|12150|130.05|14195|1558|166|170.7|181.3
77	WS31112	1 vừa ngô (17 cm đến 19 cm)=105|1 nhỏ ngô (14 cm đến 16 cm)=89|1 ngô (19 cm đến 22 cm)=77|3 lớn tai (19 cm đến 22 cm)=355|1 vừa ngô (8,5 cm đến 9 cm)=105	0399|043.4|051.5|0621|072.4|084.55|090.2|100.35|110.6|123|130.45|14220|151|175.5
78	WS31559	100 gram	0323|041.7|050.3|064.7|074|080.7|090.05|110.15|12100|130.9|14420|1545|1724
79	WS50076	100 gram	0328|041.9|050.4|065.65|072|081.25|090.05|100.05|110.2|1272|130.9|14230|1523|1741
80	WS31112	1 vừa ngô (17 cm đến 19 cm)=105|1 nhỏ ngô (14 cm đến 16 cm)=89|1 ngô (19 cm đến 22 cm)=77|3 lớn tai (19 cm đến 22 cm)=355|1 vừa ngô (8,5 cm đến 9 cm)=105	0399|043.4|051.5|0621|072.4|084.55|090.2|100.35|110.6|123|130.45|14220|151|175.5
81	WS23658	1 vừa lát (10 cm x 6 cm x 4 cm)=64|1 nhỏ lát (5 cm x 6 cm x 4 cm)=32|1.3 lớn lát (15 cm x 6 cm x 4 cm)=125	03310|0412|052.2|0663|073.15
82	WS58778	1 lát (9 cm x 2 cm)=84|1 lớn lát (12 cm x 2 cm)=165|1 chén (khối)=165|1 Qả=315|1 lát mỏng (9 cm x 1 cm)=56|0.2 dứa (9 cm x 1 cm)=180|2 miếng nhỏ=100|1 Quả=315|1.8 lớn lát 10cm x 6 cm	0351|040.55|050.1|0613.5|071.4|089.85|110.05|1213|130.3|14110|151|1748
83	WS37486	1 túi=28|0.7 ly	03380|0413|054.55|0678|0714.5|080.85|090.55|101.1|111.9|127|133.2|14330|158
84	WS25873	1 lát=25|1 lớn lát (hình khối)=30|1 lát mỏng=20|1 lát mỏng mà không có lớp vỏ (hình khối)=9|1 lát mà không có lớp vỏ=12|1 rất mỏng lát (hình khối)=15	03310|0412.5|053.85|0656|074.55|086.2|090.95|101|111.7|12165|134.1|14225|15605|170.2
85	WS40641	1 cải bắp nhỏ (khoảng 11 cm)=715|1 cải bắp trung bình (khoảng 14 cm)=910|0.9999999 vừa lá (khoảng 14 cm)=23|1 lớn lá (khoảng 18 cm)=33|1 lớn cải bắp (khoảng 18 cm)=1250	0323|041.25|050.05|065.5|071.9|082.8|1248|130.15|14195|158|1737.5
86	WS56369	100 gram	03580|0419.5|0550|0624|0711|082.75|095.2|109.5|1133|1270|133.8|14850|153|171.4
87	WS54733	1 gói=14|1 hộp to=40|5 cái=30|1 phục vụ	03275|040.15|0677.5|071|0851|127.6|130.2|1454.5|1530|170.9
88	WS29269	100 gram	03210|0428.5|059.65|093.5|104.35|110.75|1218|131.1|14425|1558.5|1681|170.6|180.7
89	WS54741	100 gram	0384|045.35|050.2|0615.5|075.5|085.95|090.05|110.1|1227|131.55|14270|153|1714
90	WS25450	1 trung=61|1 lớn (7-21 cm)=72|1 nhỏ (14 cm)=50|1 chén (dải hoặc lát)=120|1 dải đất lớn (8 cm)=7|1 vừa dải (dải hoặc lát)=4|1 lát=3|1 củ=61	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
91	WS60444	2 muỗng canh=32	03590|0425|0550.5|0619.5|076|089.2|0910.5|1024|1114|1243|131.85|14650|15460
92	WS27071		03160
93	WS37487	1 lớn=180|1 củ=150|1 nhỏ=60|1 củ to=150|1 đĩa nhỏ=200|3 củ nhỏ=90|1 củ vừa=105|1 đĩa vừa=500|2 trung=180|1 ly|0.5 c	0379|041.4|050.15|0618|072.55|085.75|090.05|110.05|1227|130.75|14230|1527|1713
94	WS28627	1 ly|1 bát	03105|042.05|050.65|0623.5|070.95
95	WS39352	1 trung=200|2 quả=200|1 chén (thái lát)=120|1 nhỏ (16 cm)=160|13.3 lát=93|1 lớn (21 cm)=280|1 thanh (10 cm)=9|0.8 lít|1 t	0312.5|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
96	WS57628	1 chén lớn=355|1 chén nhỏ=180|1 ly	0352|042.6|051.95|066.05|070.3|080.55|090.55|100.85|110.55|129|131.35|1444|15705|1611
97	WS37159		03130
98	WS46812	1 miếng=100|1 ly	0369|044.75|050.55|0617|075.6
99	WS33936	100 m=10	03125|0420.5|054.4|090.8|101.35|110.8|127|130.4|14365|1575|1646|1811
100	WS25454	1 vừa (18 cm đến 20 cm)=120|1 nhỏ (15 cm đến 18 cm)=100|1 rất nhỏ (nhỏ hơn 15 cm)=81|1 lớn (20 cm đến 22 cm)=135|1 vừa=150|1 lớn (22 cm hoặc dài hơn)=150|1 nhỏ=80|1 rất nhỏ (nhỏ hơn 15cm)=81|1 lớn (15 cm đến 18 cm)=100|1 chén (thái lát)=150	0395.5|041.1|050.3|0623|072.05|0816.5|090.1|110.05|127.75|130.4|14385|151|1711.5
101	WS37487	1 lớn=180|1 củ=150|1 nhỏ=60|1 củ to=150|1 đĩa nhỏ=200|3 củ nhỏ=90|1 củ vừa=105|1 đĩa vừa=500|2 trung=180|1 ly|0.5 c	0379|041.4|050.15|0618|072.55|085.75|090.05|110.05|1227|130.75|14230|1527|1713
102	WS29693	1 phi lê=115|1 p=100	0396|0420|051.7|090.6|100.5|110.35|1210|130.55|14300|1552|1650.5|183.1
103	WS37486	1 túi=28|0.7 ly	03380|0413|054.55|0678|0714.5|080.85|090.55|101.1|111.9|127|133.2|14330|158
104	WS49722	1 vừa (3 cm)=12|1 chén (thái lát)=165|1 chén (xay nhuyễn)=230|1 ly=145|1 lớn hơn (4 cm)=27|1 lớn (3 cm)=18|1 lít (3 cm)=355|1 nhỏ (2 cm)=7|1 phục vụ=145	0332|040.65|050.3|067.7|072|084.9|100.05|110.15|1216|130.4|14155|151|1759
105	WS78254		03215|045.8|051|0650.5
106	WS39016	1 trung=44|1 nhỏ=38|1 lớn=50|1 cực lớn=56|1 vừa=44|1 miếng=30|1 quả trứng rán=44|2 lòng trắng=44|1 ly	03195|0413.5|0515|060.85|080.4|094.3|106.2|113.25|1262|131.9|14150|15205|16400|182.2
107	WS33936	100 m=10	03125|0420.5|054.4|090.8|101.35|110.8|127|130.4|14365|1575|1646|1811
108	WS58779	1 chén nhỏ=180|1 chén lớn=355|2 trái=180|1 ly	0346|040.7|050.2|0610.5|070.2|088.4|100.05|110.05|1211|130.2|14200|151|1750
109	WS37159		03130
110	WS42502	1 chén lớn=355|1 chén nhỏ=180|1 hộp=355|1 ly|1 bát	0365.5|043.35|053.65|065.5|085.05|091.85|100.8|110.2|12115|130.05|14130|1543|1610|181.3
111	WS46282	4 lớn=28|1 trung=6|2.7 nhỏ=13.5|10 con=150	0377.5|0414.5|051.2|061.05|090.1|100.1|110.15|1254|130.2|14115|15565|16125|180.1
112	WS27071		03160
113	WS28627	1 ly|1 bát	03105|042.05|050.65|0623.5|070.95
114	WS29940	1 phục vụ=48|2 cái=125|2 chiếc=125|2 cái rán=160	03345|0419.5|0528.5|099.15|1012.5|113.75|1213|131.35|14295|15895|1684|170.7|180.7
115	WS278320		03290
116	WS31735	1 ly (phần)=165|1 (phần)=50|2 trái=165|2 miếng=200|2 trái (phần)=250|3 quả=495|1 ly	0361|042.55|050.85|0633|071.6|0813.5|090.1|100.15|110.05|1211|130.15|14170|151|1736.5
117	WS31735	1 ly (phần)=165|1 (phần)=50|2 trái=165|2 miếng=200|2 trái (phần)=250|3 quả=495|1 ly	0361|042.55|050.85|0633|071.6|0813.5|090.1|100.15|110.05|1211|130.15|14170|151|1736.5
118	WS37159		03130
119	WS42310	1 vừa nêm (1/8 dưa)=69|1 lớn nêm (1/8 dưa)=100|1 nhỏ nêm (1/8 dưa)=55|1 trung bình (khoảng 12 cm)=550|0.4 lớn (khoảng 16 cm)=325|10 dưa vàng bóng (khoảng 11 cm)=140|1 (khoảng 11 cm)=70|1 lát=69|3 miếng=300|0.1 nhỏ (khoảng 11 cm)=44|0.2 trái=400|4 lớn nêm (1/2 dưa)	0330|040.6|050.15|067.55|070.4|086.2|100.05|110.05|127|130.25|14110|151|178.1
120	WS52732		0374|043.6|052.7|067.75
121	WS29264	0.5 trái=110|2 quả nhỏ=220|1 trái nhỏ=80|1 ly|0.5 qua|1 quả|0.2 c	0377.5|040.25|050.2|0617|071.2|0814.5|090.05|100.05|110.05|123.05|130.1|1477|152|171.9
122	WS30794	1 ly	03355|047.5|050.4|0684|073.3|089.5|090.1|100.05|110.2|127|1329|14170|15730|1721|183.6
123	WS22586	3 bát=475|1 ly|1 lít	03350|048.8|050.65|0679|071.25|080.1|090.2|100.2|110.15|1227|134.15|14110|154.8
124	WS39352	1 trung=200|2 quả=200|1 chén (thái lát)=120|1 nhỏ (16 cm)=160|13.3 lát=93|1 lớn (21 cm)=280|1 thanh (10 cm)=9|0.8 lít|1 t	0312.5|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
125	WS33936	100 m=10	03125|0420.5|054.4|090.8|101.35|110.8|127|130.4|14365|1575|1646|1811
126	WS56403	1 vú=235|1 đĩa=150|1 vué=50|1 đĩa nhỏ=80|1 ức gà=180	03120|0421|052.6|090.55|100.75|110.4|125|130.35|14370|15115|1664|171.2|180.1
127	WS31112	1 vừa ngô (17 cm đến 19 cm)=105|1 nhỏ ngô (14 cm đến 16 cm)=89|1 ngô (19 cm đến 22 cm)=77|3 lớn tai (19 cm đến 22 cm)=355|1 vừa ngô (8,5 cm đến 9 cm)=105	0399|043.4|051.5|0621|072.4|084.55|090.2|100.35|110.6|123|130.45|14220|151|175.5
128	WS39352	1 trung=200|2 quả=200|1 chén (thái lát)=120|1 nhỏ (16 cm)=160|13.3 lát=93|1 lớn (21 cm)=280|1 thanh (10 cm)=9|0.8 lít|1 t	0312.5|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
129	WS29269	100 gram	03210|0428.5|059.65|093.5|104.35|110.75|1218|131.1|14425|1558.5|1681|170.6|180.7
