Row	Meal	Name	Brand	Pos
122	B	Mảnh ngô		19225
123	S	Gạo trắng		19329
124	B	Dưa chuột		19444
125	L	Cá hồi		19646
126	B	Ức gà thịt		19737
127	L	Ngô		19880
128	L	Dưa chuột		20128
129	D	Nướng thịt lợn thăn		20330
130	D	Dứa		20433
131	D	Thịt bò canh		20700
132	L	Dưa hấu		20808
133	D	Cá hồi		21165
134	B	Nhiều ngũ cốc buổi		21256
135	D	Trứng luộc cứng		21360
136	D	Bánh		21518
137	L	Đùi gà		21649
138	D	rau muống		21793
139	L	Bò		21815
140	D	Đùi gà		21836
141	L	Củ đậu		21980
142	B	Hỗn hợp rau		22008
143	L	rau muống		22138
144	D	Cải bắp		22160
145	S	Củ đậu		22408
146	B	Cắt giảm thịt lợn		22436
147	B	Chiên trứng		22560
148	D	Chiên trứng		22760
149	S	Cơm		22960
150	L	Cá trích		22980
151	L	Sữa chua		23078
152	L	Bông cải xanh		23098
153	B	Bánh xốp		23307
154	B	Phở		23449
155	D	Cơm		23469
156	B	ngũ cốc		23489
157	D	Khoai tây nghiền		23562
158	D	Cơm trắng		23671
159	S	Sữa chua		23708
160	B	Sữa chua		23728
161	L	Thịt bò canh		23748
162	D	Rau bina nấu chín		23856
163	B	Mật ong		23960
164	B	bánh ngọt		24060
165	D	Trứng vịt lộn		24100
166	D	Xoài		24138
167	L	Su su		24322
168	B	Táo		24344
169	S	Sữa nguyên chất		24510
170	S	Bánh xốp		24662
171	B	sữa đậu nành		24804
172	L	Đậu phụ		24844
173	D	Táo		24884
174	L	Nhiều ngũ cốc buổi		25050
175	B	Mặt đất thịt lợn		25154
176	B	Bánh Cuốn		25282
177	B	Nướng thịt lợn thăn		25303
178	L	sữa đậu nành		25406
179	B	Mận		25446
180	D	Rau diếp xoăn xanh		25466
181	D	Đậu phụ		25563
182	B	Bánh Phở		25603
183	D	sinh tố		25637
184	D	Dưa leo chua		25676
185	D	1% sữa		25826
186	D	Mặt đất thịt lợn		25981
187	B	sinh tố		26109
188	L	Ca kho		26148
189	D	Ức gà thịt		26167
190	D	Lạc muối rang		26310
191	S	Kem vani		26426
192	S	Dưa chuột		26549
193	S	Nước cam tươi		26751
194	B	Bún bò		26886
195	B	Cháo		26990
196	B	Xôi		27010
197	B	Bánh gạo		27048
198	L	Bánh gạo		27068
199	B	Bánh mì nướng trắng		27088
200	D	Bò		27345
201	D	Nước cam tươi		27366
202	B	Cải bắp		27501
203	L	Bánh Phở		27749
204	L	Sữa nguyên chất		27783
205	L	Thịt rang Thổ Nhĩ Kỳ		27935
206	L	Chiên gà		28049
207	L	Bánh mì nướng trắng		28173
208	S	Thịt bò		28430
209	B	Thịt heo		28613
210	B	Sô cô la sữa		28647
211	D	Mùa hè bí		28793
212	D	Sữa chua		28951
213	D	sữa đậu nành		28971
214	D	thịt lợn		29011
215	L	Dưa vàng		29031
216	D	Xôi Xéo		29313
217	D	bim bim		29334
218	D	Cá trích		29374
219	D	Bánh gạo		29472
220	D	Ổi		29492
221	S	Kem sô cô la		29513
222	B	Chiên gà		29630
223	B	Bỏng ngô		29754
224	B	Hủ tiếu		29859
225	B	Củ đậu		29898
226	S	Bánh quy giòn lúa mì		29926
227	D	Yến mạch		30076
228	L	rau ngót		30218
229	B	Mì tôm		30251
230	D	Bánh mì nướng trắng		30271
231	D	đậu đỏ		30528
232	D	Ca thu		30549
233	D	canh bí đao		30579
234	D	Bưởi		30620
235	B	Kem vani		30639
236	D	Cháo		30762
237	D	Củ đậu		30782
238	L	Yến mạch		30810
239	L	Giảm mỡ bơ đậu phộng		30952
240	L	Giò Chả		31057
241	S	sinh tố		31078
242	S	Sữa chua nhẹ tăng cường chất trái cây chất béo thấp		31117
243	S	Cháo		31242
244	S	Hỗn hợp rau		31262
245	S	Ổi		31392
246	B	Nước tương		31413
247	S	caramen		31558
248	L	thịt kho tiêu		31578
249	L	Nước chanh		31620
250	D	nem chua rán		31750
251	D	Canh bầu		31771
252	D	Thịt heo		31792
253	B	Cơm trắng		31826
254	B	Cá rô phi		31863
255	L	Khoai tây nghiền		31968
256	S	sữa đậu nành		32077
257	S	Bánh afc		32117
258	S	Dứa		32155
259	S	1% sữa		32422
260	L	Rau bina nấu chín		32577
261	S	Phô mai		32681
262	S	Trứng vịt lộn		32810
263	L	Cháo		32848
264	L	Xôi Xéo		32868
265	L	Bánh		32889
266	L	1% sữa		33020
267	L	thịt lợn		33175
268	L	Bánh xốp		33195
269	D	Bánh ngọt nướng bánh mỳ phủ sương		33337
270	B	Sữa Fami		33440
271	B	Sữa chua không đường		33461
272	B	đậu đỏ		33491
273	D	Bông cải xanh		33512
274	D	Bánh xốp		33721
275	L	Đậu phộng mà không có muối		33863
276	B	Miến		33983
277	D	Gà kho		34022
278	S	Táo		34063
279	S	Tôm		34229
280	S	Kẹo dẻo		34366
281	L	Đậu nành công nghiệp dầu		34506
282	L	Củ cải		34582
283	L	Cá		34616
284	L	Ức gà thịt		34719
285	L	Sữa chua nhẹ tăng cường chất trái cây chất béo thấp		34862
286	B	Tôm		34987
287	S	Bưởi		35124
288	L	bim bim		35143
289	B	Phô mai		35183
290	B	Nước cam tươi		35312
291	B	Nước dừa		35447
292	B	Đầu vòng thịt bò bít tết		35468
293	B	Trứng vịt lộn		35563
294	B	Ổi		35601
295	B	Bún riêu		35622
296	B	Dưa vàng		35643
297	B	bánh mì ổ		35925
298	S	Bún		36026
299	B	Bánh bao		36046
300	B	Lạc muối rang		36067
301	B	bim bim		36183
302	S	Mận		36223
303	L	Đậu lăng		36243
304	L	Miến		36362
305	L	Khoai tây chiên trắng		36401
306	L	Quẩy		36517
307	L	Bánh mì nướng		36538
308	L	Thịt kho		36786
309	D	bánh bột lọc		36806
310	D	Chả lụa		36827
311	D	Bánh quy bơ		36858
312	D	Bột yến mạch		36896
313	D	Cá da trơn		37016
314	D	Thạch		37146
315	D	Cải xoăn		37258
316	L	ngũ cốc		37362
317	S	Kẹo		37435
318	L	Nam		37528
319	L	Thịt heo		37565
320	L	Thit		37599
321	L	Xúc xích		37639
322	S	Cam		37783
323	D	Bánh Tráng		37803
324	L	Bánh ngọt nướng bánh mỳ phủ sương		37843
325	D	Bia		37946
326	D	Gan gà		38039
327	L	Bột yến mạch		38147
328	S	Canh bầu		38267
329	S	Xôi		38288
330	S	Pizza		38326
331	S	Chiên trứng		38362
332	L	Pizza		38562
333	L	Lạc muối rang		38598
334	L	Bánh Cuốn		38714
335	S	Bánh bông lan		38735
336	S	trà sữa		38775
337	D	Kẹo		38796
338	S	nước mía		38889
339	L	Phô mai		38911
340	B	bánh ướt		39040
341	S	Sữa tươi		39080
342	B	Bún xào		39100
343	B	Cà rốt		39138
344	B	Sữa không đường		39369
345	B	Dưa lê		39390
346	B	Sữa sô cô la ít chất béo		39411
347	D	Dưa vàng		39554
348	B	Lạc rang		39836
349	D	Su su		39932
350	D	rau ngót		39954
351	D	Cam		39987
352	D	Chả cá		40007
353	D	Mỳ tôm		40027
354	D	Nướng đậu		40065
355	D	Mì tôm		40125
356	D	Mỡ lợn		40145
357	B	Kẹo		40212
358	L	Ngao		40305
359	L	Canh chua		40326
360	L	Bí đao		40364
361	L	Cá lóc kho		40385
362	L	Mận		40405
363	L	Cam		40425
364	L	Bánh quy giòn lúa mì		40445
365	S	Đu đủ		40595
366	L	Sữa bột		40614
367	S	Bánh		40730
368	L	Ca thu		40861
369	L	Ổi		40891
370	S	Bò		40912
371	S	Chôm chôm		40933
372	S	Trứng luộc cứng		40964
373	S	Chè		41122
374	S	bim bim		41142
375	S	Nước chanh không đường		41182
376	S	Bánh quy bơ		41202
377	S	Há cảo		41240
378	B	Gan gà		41261
379	S	Sữa		41369
380	D	Củ cải		41407
381	B	bánh bột lọc		41441
382	B	cơm tấm		41462
383	B	Bơ thực vật		41502
384	B	thịt lợn		41622
385	B	Bưởi		41642
386	B	Giảm chất béo chip		41661
387	B	Chè		41787
388	B	Đậu phụ		41807
389	B	Súp mì gà		41847
390	B	Mùa hè bí		41981
391	B	Màu xanh lá cây đậu Hà Lan		42139
392	B	Mỳ tôm		42239
393	D	Bánh rán		42277
394	B	Mit		42298
395	D	bánh su kem		42334
396	D	Há cảo		42372
397	D	Phở		42393
398	D	Dâu tây		42413
399	D	Sữa không đường		42653
400	D	Quýt		42674
401	D	bún thịt nướng		42705
402	D	Ca kho		42725
403	D	Thịt rang Thổ Nhĩ Kỳ		42744
404	D	Kem vani		42858
405	D	Lợn Nướng Chả		42981
406	B	Khoai tây nghiền		43002
407	B	Bánh quy		43111
408	B	Dâu tây		43150
409	D	Dưa lê		43390
410	B	Kẹo dẻo		43411
411	B	Cà chua dán		43551
412	B	Phở bò		43684
413	B	Banh canh		43705
414	B	Bánh đa		43726
415	B	Bún riêu		43747
416	B	bún thịt nướng		43784
417	B	Ca loc		43804
418	B	Trứng kho		43836
419	B	Thanh long		43952
420	D	Thấp sữa chua chất béo vani		43971
421	B	Bông cải xanh		44077
422	B	Gà kho		44286
423	B	Giò Chả		44327
424	B	Cá trích		44348
425	B	Bơ đậu phộng		44446
426	B	Hu tiu		44551
427	B	Bánh quy giòn lúa mì		44589
428	B	Nươc		44739
429	B	Sữa tươi		44759
430	B	Sữa sô cô la		44779
431	D	Miến		44906
432	S	Banh canh		44945
433	S	Làm giàu trái cây hương vị nước		44966
434	S	Bia		45042
435	S	Sữa bột		45135
436	S	Cơm trắng		45251
437	S	Thanh long		45288
438	S	Hạt hướng dương rang		45307
439	S	Sữa không đường		45408
440	S	Ca loc		45429
441	S	Cắt giảm thịt lợn		45461
442	D	Cá ngừ kho		45585
443	D	trà sữa		45612
444	D	Bầu		45633
445	D	Xôi		45671
446	D	Bánh bao		45709
447	D	Bánh chưng		45730
448	D	Bắp luộc		45751
449	D	nước mía		45772
450	D	Lê		45794
451	D	đậu hũ		45968
452	D	Ca chim		46009
453	D	Mit		46041
454	D	Cà phê		46077
455	B	Gà		46167
456	S	Bánh mì Pháp		46379
457	L	Thạch		46528
458	L	Ca chim		46640
459	L	Mì gói		46672
460	L	Bầu xào trứng		46713
461	L	Dưa lê		46733
462	L	Trứng cút		46754
463	L	Canh rau dền		46793
464	L	Sữa sô cô la ít chất béo		46832
465	L	Hành tây		46975
466	L	Chả cá		47216
467	L	Giá đỗ		47236
468	S	Sữa chua không đường		47255
469	L	Trứng luộc cứng		47285
470	L	Gà kho		47443
471	L	khoai tây		47484
472	B	Đậu phộng		47669
473	S	bánh su kem		47690
474	B	Bánh Bò		47728
475	S	bánh bột lọc		47749
476	S	Bột đậu		47770
477	B	Thịt gà		47790
478	L	Bầu		47811
479	L	Canh bầu		47849
480	S	Lạc muối rang		47870
481	B	Bánh chưng		47986
482	L	Kho qua		48007
483	B	Nấm men		48047
484	L	canh bí đao		48172
485	L	Rau cải		48213
486	S	Khoai tây chiên trắng		48235
487	B	Đậu phộng mà không có muối		48351
488	B	Bánh quy bơ		48471
489	B	phở gà		48509
490	B	Cá		48530
491	B	Há cảo		48633
492	B	Thấp sữa chua chất béo vani		48654
493	B	Kho qua		48760
494	B	Bánh bông lan		48800
495	B	Làm giàu trái cây hương vị nước		48840
496	S	Canh chua		48916
497	B	Dưa leo		48954
498	S	Mì gói		49032
499	S	Bông cải xanh		49073
500	S	Cà chua		49282
501	S	Phở		49560
502	S	Gạo lứt		49580
503	S	Nướng thịt lợn thăn		49638
504	S	Thịt xông khói		49741
505	S	Yến mạch		49867
506	S	Đậu phộng mà không có muối		50009
507	S	Nhiều ngũ cốc buổi		50129
508	S	ngũ cốc		50233
509	S	Bánh bao		50306
510	B	Đu đủ		50327
511	B	Bánh afc		50346
512	B	Kem sô cô la		50384
513	B	Thịt bò canh		50501
514	B	Bánh gio		50609
515	B	Nam		50629
516	S	Đậu nành công nghiệp dầu		50666
517	S	Thấp sữa chua chất béo vani		50742
518	L	Đầu vòng thịt bò bít tết		50848
519	B	Cải xoăn		50943
520	S	xôi mặn		51047
521	B	Cá diêu hông		51082
522	S	Đậu hủ chiên xả		51118
523	S	Bánh Tráng		51139
524	S	Lạc rang		51179
525	S	cà ri		51275
526	S	Bánh Bò		51308
527	S	Xôi gấc		51329
528	S	Cá trích		51349
529	S	Canh rau dền		51447
530	B	Cá da trơn		51486
531	S	Sữa Fami		51616
532	D	Rau cải		51637
533	L	Bánh tét		51659
534	L	Tép rang		51679
535	L	Bỏng ngô		51711
536	L	Kẹo		51816
537	D	Trứng cút		51909
538	L	Sữa sô cô la		51948
539	D	Mắm chưng		52075
540	D	Súp mì gà		52113
541	D	Bí luộc		52247
542	D	Nước dừa		52340
543	D	Sữa sô cô la		52361
544	L	Mì tôm		52488
545	D	phở bò tái		52508
546	D	Bánh mì Pháp		52540
547	D	Rau		52689
548	D	Su hào		52709
549	D	Cá nục		52729
550	D	Ngao		52755
551	D	Bánh quy		52776
552	D	bánh xèo		52815
553	D	Bột chiên		52836
554	D	cà ri		52874
555	D	Giò Chả		52907
556	D	Bún riêu		52928
557	D	Màu xanh lá cây đậu Hà Lan		52949
558	D	Màu xanh lá cây rau diếp		53049
559	L	Cà phê sữa		53367
560	L	Sữa milo		53388
561	L	lạp xưởng		53409
562	L	Bánh Tráng		53430
563	L	Mit		53470
564	L	đậu hũ		53506
565	L	Lê		53547
566	L	trà sữa		53721
567	D	Đầu vòng thịt bò bít tết		53742
568	L	Bánh chưng		53837
569	L	Bún bò		53858
570	L	Canh cải ngọt		53962
571	L	Hủ tiếu		53995
572	L	Cá nục		54034
573	L	Súp mì gà		54060
574	L	Bánh mì tròn		54194
575	D	Đu đủ		54380
576	L	Rau		54399
577	L	Đu đủ		54419
578	L	Cà tím		54438
579	L	Cá ngừ kho		54469
580	L	Bánh bông lan		54496
581	L	Thấp sữa chua chất béo vani		54536
582	L	Sữa chua không đường		54642
583	L	Bột chiên		54672
584	L	Thịt xông khói		54710
585	B	Dưa leo chua		54836
586	B	Bánh mì tròn		54986
587	B	Cam		55172
588	B	canh bí đao		55192
589	B	Bánh ngọt nướng bánh mỳ phủ sương		55233
590	B	Mì gói		55336
591	B	Nướng đậu		55377
592	B	Tép rang		55437
593	L	nem chua rán		55469
594	B	Thịt kho		55490
595	B	Trứng cút		55510
596	D	Canh rau dền		55549
597	D	Mì gói		55588
598	D	Hồng trà		55629
599	D	Chè		55649
600	D	Bí đao		55669
601	D	Giá đỗ		55690
602	D	Sữa		55709
603	D	Bánh canh cua		55747
604	D	Mảnh ngô		55777
605	S	Lê		55881
606	D	Hu tiu		56055
607	D	Sữa Fami		56093
608	D	Sữa chua nhẹ tăng cường chất trái cây chất béo thấp		56114
609	D	Bánh gio		56239
610	D	Thanh long		56259
611	D	Canh chua		56278
612	D	chanh		56316
613	D	Chiên gà		56404
614	S	Đậu phộng		56528
615	D	Đậu phộng		56549
616	D	Bún bò		56570
617	D	Bánh bông lan		56674
618	L	bánh mì ổ		56714
619	D	bánh ngọt		56815
620	D	nước ngọt		56855
621	D	Nhiều ngũ cốc buổi		56875
622	D	Canh cải ngọt		56979
623	D	Bánh mì tròn		57012
624	D	Sữa tươi		57198
625	D	Bánh quy giòn lúa mì		57218
626	D	Mận		57368
627	D	Kho qua		57388
628	D	Cơm gà		57428
629	D	Sữa bột		57449
630	D	Đậu lăng		57565
631	D	Làm giàu trái cây hương vị nước		57684
632	D	Phở bò		57760
633	D	Kẹo dẻo		57781
634	D	thịt kho tiêu		57921
635	D	Nấm men		57963
636	S	rau muống		58088
637	D	bánh ướt		58110
638	S	Thịt bò canh		58150
639	S	thịt lợn		58258
640	S	Miến		58278
641	S	Bánh gạo		58317
642	S	Mì tôm		58337
643	S	Bánh canh cua		58357
644	S	Bí đao		58387
645	S	Bầu		58408
646	S	Cà tím		58446
647	S	Mit		58477
648	S	Màu xanh lá cây đậu Hà Lan		58513
649	S	Hủ tiếu		58613
650	S	Nước dừa		58652
651	S	Hu tiu		58673
652	S	Sữa milo		58711
653	S	Khoai tây nướng		58732
654	S	Mặt đất thịt lợn		58909
655	S	Bún bò		59037
656	S	Cá rô phi		59141
657	S	Xúc xích		59246
658	S	Giá đỗ		59390
659	S	cơm tấm		59409
660	S	Bún riêu		59449
661	S	nước ngọt		59486
662	S	Canh cải ngọt		59506
663	S	Gan gà		59539
664	S	Rau		59647
665	S	Bánh rán		59667
666	S	Bánh tiêu		59688
667	S	bánh ướt		59719
668	S	bánh mì ổ		59759
669	S	Bột chiên		59860
670	S	Bánh mì tròn		59898
671	S	Bơ dầu		60084
672	S	đậu xanh		60198
673	S	Nướng đậu		60236
674	S	Đùi gà		60296
675	S	Dưa lê		60440
676	S	Đầu vòng thịt bò bít tết		60461
677	S	Hồng trà		60556
678	S	Chả lụa		60576
679	D	Pizza		60607
680	S	bánh xèo		60643
681	B	Lê		60664
682	B	Quýt		60838
683	B	Bắp luộc		60869
684	B	thịt kho trứng		60890
685	B	Khoai tây chiên trắng		60923
686	B	Bơ dầu		61039
687	B	Bánh tiêu		61153
688	B	thịt kho tiêu		61184
689	B	xôi mặn		61226
690	L	Sô cô la sữa		61261
691	B	Quẩy		61407
692	B	Củ cải		61428
693	B	phở bò tái		61462
694	B	caramen		61494
695	L	Phở		61514
696	L	Trứng kho		61534
697	L	Bưởi		61650
698	L	Bơ đậu phộng		61669
699	L	chanh		61774
700	D	Nước chanh không đường		61862
701	B	Màu xanh lá cây rau diếp		61882
702	B	lạp xưởng		62200
703	B	Chôm chôm		62221
704	B	Thạch		62252
705	B	Giảm mỡ bơ đậu phộng		62364
706	B	Bánh canh cua		62469
707	B	Trứng luộc cứng		62499
708	B	Hạt hướng dương rang		62657
709	B	Chả lụa		62758
710	B	Nước sốt thịt nướng		62789
711	B	Cà phê sữa		62912
712	B	Lợn Nướng Chả		62933
713	B	Nước chanh không đường		62954
714	B	Nước ép cà chua		62974
715	B	cà ri		63093
716	B	Snack		63126
717	B	Bánh Tráng		63164
718	B	Đậu lăng		63204
719	B	Đậu nành công nghiệp dầu		63323
720	B	Cơm gà		63399
721	L	Nước tương		63420
722	D	Bánh Bò		63565
723	L	Bơ dầu		63586
724	L	đậu xanh		63700
725	L	thịt kho trứng		63738
726	L	Bánh rán		63771
727	L	Cơm gà		63792
728	L	Bia		63813
729	L	Kẹo dẻo		63906
730	L	Banh canh		64046
731	L	Mật ong		64067
732	D	Sữa milo		64167
733	L	Đậu hủ chiên xả		64188
734	D	Lạc rang		64209
735	D	Nước ép cà chua		64305
736	D	Phô mai		64424
737	D	phở gà		64553
738	D	caramen		64574
739	D	Đậu phộng mà không có muối		64594
740	L	đậu đỏ		64714
741	L	Bí luộc		64735
742	L	Sữa		64828
743	L	Nươc		64866
744	L	Cá diêu hông		64886
745	L	Bún xào		64922
746	L	Kem sô cô la		64960
747	L	Chả lụa		65077
748	L	Nước sốt thịt nướng		65108
749	L	Đậu phộng		65231
750	S	Gà		65252
751	L	Quýt		65464
752	L	Bánh quy bơ		65495
753	L	Sữa tươi		65533
754	L	Khoai tây nướng		65553
755	L	Snack		65730
756	L	Bột đậu		65768
757	L	Lạc rang		65788
758	L	bánh su kem		65884
759	L	Su hào		65922
760	L	Ca loc		65942
761	S	Táo		65974
762	S	Cà phê		66173
763	S	Chuối		66292
764		Dầu đậu tương		66569
765		Ruốc		66667
766		Miến dong		66688
767		Đường		66716
768		Xôi đậu xanh		66839
769		Cóc		66860
770		đậu đen		66880
771		Cơm tẻ		66997
772		Khoai tây chiên		67018
773		Gạo nếp		67146
774		Nem Chua		67184
775		Nhãn		67210
776		Linh tinh		67250
777		Lựu		67270
778		Dầu thực vật		67305
779		Đào		67378
780		Nước Ổi		67566
781		Giá		67586
782		Rau Muống Luộc		67615
783		Giò lụa		67635
784		canh bí đỏ		67656
785		nước chanh mật ong		67678
786		bí đỏ		67699
787		Khoai so		67737
788		Chanh Cốt		67758
789		Gà Xào Xả Ớt		67791
790		Rau Bí		67812
791		xôi trắng		67844
792		xôi lạc		67865
793		Đậu đũa		67886
794		Nho		67927
795		Trứng luộc		67991
796		Nước rau má		68094
797		Củ Đậu		68115
798		Trung ga		68146
799		Mướp		68167
800		vừng		68199
801		Quả bơ		68220
802		Nước sấu		68247
803		Bánh Đậu Xanh		68267
804		Canh rau ngót		68288
805		Sữa TH		68308
806		Muc kho		68348
807		bí ngô		68385
808		khế		68405
809		Bò sườn		68427
810		Cá chép		68524
811		Bánh Tẻ		68543
812		Ổi		68564
813		Bánh Cheese Cake		68598
814		Pate		68619
815		Bánh mì thịt		68652
816		Bột bánh		68673
817		Trứng Chiên		68769
818		Sữa Vinamilk		68875
819		Ánh sáng bia		68896
820		Canh mướp		68997
821		đỗ tương		69017
822		Hàu		69038
823		quả hồng		69076
824		Vải		69097
825		Chả Lá Lốt		69117
826		Mít dai		69138
827		Sâm bổ lượng		69166
828		Na		69186
829		Bánh Oreo		69206
830		Canh khoai mỡ		69236
831		Bánh Chocopie		69269
832		Xoài xanh		69290
833		Lòng trắng Trứng		69389
834		Bò bía		69409
835		mì quảng		69429
836		Sữa Tách Béo		69467
837		Dua cai be		69508
838		Rau dền		69529
839		Chân gà		69569
840		Măng Tre		69699
841		Kẹo gôm		69729
842		Hẹ		70025
843		Oc		70052
844		Bánh gạo mặn		70083
845		Quả Na		70104
846		Sữa đậu nành không đường		70140
847		Bánh Trung Thu		70162
848		Đậu Bắp		70183
849		cháo lòng		70221
850		Xúc xích gan		70242
851		Chà bông		70357
852		Bánh bao chay		70390
853		Sau rieng		70411
854		cháo gà		70432
855		Bánh cosy		70453
856		Bánh mì trắng		70473
857		Bánh Mì Kẹp Thịt		70716
858		Rau xà lách		70757
859		Mỳ Quảng		70789
860		Tào Phớ		70815
861		Sữa yomost		70836
862		Bột sắn dây		70874
863		Trái Hồng		70895
864		Đậu Rán		70916
865		Rau Thơm		70937
866		Nho-hạt ngũ cốc		70957
867		Trứng gà luộc		71070
868		cá biển		71090
869		thịt lợn rang		71111
870		Tẩm bột gà		71132
871		Ngũ cốc buổi		71250
872		Bánh mì đa hạt		71361
873		Ca me		71622
874		Chả giò		71651
875		Xíu mại		71683
876		Nước trái cây cam		71705
877		Coca Cola		71816
878		Trứng vit		71836
879		Bánh Quế		71937
880		Chả quế		71958
881		Canh bí rợ		71989
882		hoành thánh		72008
883		Canh Cải Ngọt		72043
884		mít		72081
885		Cá viên kho		72101
886		Xôi ngô		72204
887		Cơm Rang		72246
888		Đậu bắp luộc		72286
889		gạo		72307
890		Canh bắp cải		72406
891		Nui		72443
892		Thịt chiên		72482
893		Bún		72503
894		bún thịt nướng chả giò		72524
895		Trứng Rán		72564
896		trứng gà ta		72585
897		Nem Rán		72607
898		Sữa đặc		72628
899		mì ý		72661
900		Cải Thìa		72682
901		Cacao		72708
902		Hành Lá		72728
903		nước khoáng		72760
904		Xôi Ruốc		72785
905		Bánh phồng		72806
906		Mì ăn liền		72827
907		Khoai môn		72847
908		Gia vị		72866
909		Bánh canh thịt		72992
910		bún bò huế		73013
911		bún mắm		73052
912		Lương khô		73090
913		trà xanh		73111
914		Bánh Dày		73131
915		rau mùng tơi		73152
916		trứng vịt luộc		73245
917		Hạt Điều		73277
918		Dưa muối		73375
919		Bánh flan		73395
920		trứng gà Mỹ		73428
921		đỗ que		73469
922		Ca Cao		73489
923		Bánh Pía		73510
924		Bánh mì tươi		73531
925		thịt heo quay		73570
926		Mì gạo		73664
927		Sữa Không Đường Tách Béo		73766
928		Rau muon		73786
929		Hạt Dẻ		73809
930		Nghêu		73830
931		Bánh Kem Tiramisu		73851
932		Heo Quay		73891
933		Bánh Đúc		73912
934		Nước sâm		73933
935		Mì ống với sốt cà chua		73953
936		Hủ Tiếu Mì		74065
937		Rau má		74105
938		cơm tấm sườn		74125
939		Sting		74146
940		Chân giò heo		74174
941		Cải Ngồng		74209
942		Tàu Hủ		74231
943		Sinh Tố Chuối Đại Dương		74257
944		Trà sữa trân châu		74296
945		Bánh mì đen		74334
946		Bánh Mì Trứng		74435
947		bánh hỏi		74456
948		Nước ép táo		74497
949		Keo mut		74517
950		Canh rau đay		74537
951		Hủ Tiếu Nam Vang		74556
952		Cháo trắng		74592
953		bánh nậm		74613
954		Lòng đỏ trứng		74635
